Question;Form_A_Non_AI_Statistic;Form_A_Non_AI_p-value;Form_A_AI_Statistic;Form_A_AI_p-value;Form_B_Non_AI_Statistic;Form_B_Non_AI_p-value;Form_B_AI_Statistic;Form_B_AI_p-value
I lose track of time;0.911278129;0.164465174;0.899975955;0.112693436;0.891692996;0.028893454;0.83567214;0.003095516
I was interested in the game's story;0.923053741;0.243237391;0.880994916;0.060044065;0.874608815;0.014171948;0.863695741;0.009120858
I feel different ;0.855196536;0.026148058;0.885597944;0.06987226;0.792716861;0.000674161;0.881953001;0.019186046
I feel scared;0.754796743;0.001452426;0.836798131;0.014771387;0.856390953;0.006833766;0.728185892;8.7816E-05
The game feels real;0.841105223;0.016855484;0.903474987;0.126680389;0.827003777;0.002247993;0.866780519;0.01031903
I was fully occupied with the game;0.850445688;0.022522049;0.896358788;0.09987478;0.854108453;0.006250732;0.84225297;0.003964006
I get wound up;0.899551272;0.111105636;0.814002812;0.007475478;0.792272687;0.000664124;0.846732497;0.00470123
Time seems to kind of stand still or stop;0.833804369;0.013484918;0.837399721;0.015045274;0.827109277;0.002256674;0.864177346;0.009297757
I feel spaced out;0.863535285;0.034081992;0.81390667;0.007454506;0.86510241;0.009647851;0.917229772;0.087647036
I was deeply concentrated in the game;0.914181411;0.181208476;0.847972453;0.02084839;0.883404851;0.020382255;0.791732788;0.000652139
I got tired;0.867015719;0.038109485;0.908971548;0.152257711;0.859517753;0.007727865;0.902238667;0.045431793
Playing seems automatic;0.924196601;0.252556503;0.84203434;0.017344626;0.788747907;0.000589908;0.893327832;0.030974574
My thoughts go fast;0.932069659;0.326147735;0.835529804;0.014211135;0.809841633;0.001215851;0.861243963;0.008273914
I enjoyed it;0.877994359;0.05442024;0.874640465;0.048778426;0.890295148;0.027230222;0.864946246;0.009587772
I play without thinking how to play;0.804960966;0.005751814;0.896358788;0.09987478;0.745567203;0.000148138;0.895840049;0.034484051
Playing makes me feel calm;0.911278129;0.164465174;0.843960404;0.01840725;0.850922585;0.005523644;0.82506448;0.002094582
I play longer than I meant to;0.820222855;0.008976115;0.855282664;0.026219236;0.83993721;0.003632026;0.859939337;0.007857595
I really get into the game;0.923339844;0.245539576;0.885414004;0.069449253;0.876062572;0.015041653;0.875463188;0.014676441
I feel like I just can't stop playing;0.786467314;0.003411491;0.744419217;0.001109507;0.849560857;0.005240773;0.881953001;0.019186046
